Qualification,Exam,ExamVersion,Keycode,Score,OriginalScore,Moderated,Percentage,Status,Submitted,Imported,Flagged,VIP,Country,CandidateFullName,CandidateRef,CentreName,CentreCode
IxTestSubject,Matt SecureMarker Group exam 5,Matt SecureMarker Group exam 5 version 1,DQT9NQC8,-/50.00,-/50.00,False,-,Marking not started,31/12/2019 00:02:00,31/12/2019 00:01:55,False,False,Unknown,"""IxTestFiveForename IxTestFiveSurname""",IxTestFive,IxTestCentre,IxTestCentre
IxTestSubject,Matt SecureMarker Group exam 1,Matt SecureMarker Group exam 1 version 1,VVCP8BC8,-/50.00,-/50.00,False,-,Marking not started,28/12/2019 00:02:00,28/12/2019 00:01:58,False,False,Unknown,"""IxTestFiveForename IxTestFiveSurname""",IxTestFive,IxTestCentre,IxTestCentre
ix_RG_Subject_Group,ix_RG_Group_Test1,ix_RG_Group_Test2,RN3MQ8C8,-/201.00,-/201.00,False,-,Marking not started,24/12/2019 14:19:00,24/12/2019 14:23:34,False,False,Unknown,"""Api_Review_Sch_Candidate4 Api_Review_Sch_Candidate4""",Api_Review_Sch_Candidate4,ix_c1,ix_c1
ix_RG_Subject_Group,ix_RG_Group_Test1,ix_RG_Group_Test2,M8YXL8C8,-/201.00,-/201.00,False,-,Marking not started,24/12/2019 14:18:00,24/12/2019 14:18:34,False,False,Unknown,"""Api_Review_Sch_Candidate3 Api_Review_Sch_Candidate3""",Api_Review_Sch_Candidate3,ix_c1,ix_c1
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group 1 testform 2,MCYVYBC8,-/1000.00,-/1000.00,False,-,Marking not started,24/12/2019 13:46:00,24/12/2019 13:48:33,False,False,Unknown,"""IxTestFiveForename IxTestFiveSurname""",IxTestFive,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group 1 testform 2,DXG6JVC8,-/1000.00,-/1000.00,False,-,Marking not started,24/12/2019 13:44:00,24/12/2019 13:48:32,False,False,Unknown,"""IxTestFourForename IxTestFourSurname""",IxTestFour,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group 1 testform 2,NLRNNJC8,-/1000.00,-/1000.00,False,-,Marking not started,24/12/2019 13:38:00,24/12/2019 13:38:32,False,False,Unknown,"""IxTestTwoForename IxTestTwoSurname""",IxTestTwo,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group 1 testform 2,GCJW9MC8,-/1000.00,-/1000.00,False,-,Marking not started,24/12/2019 13:37:00,24/12/2019 13:38:32,False,False,Unknown,"""IxTestThreeForename IxTestThreeSurname""",IxTestThree,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group 1 testform 2,8VJXD6C8,-/1000.00,-/1000.00,False,-,Marking not started,24/12/2019 13:32:00,24/12/2019 13:33:31,False,False,Unknown,"""IxTestOneForename IxTestOneSurname""",IxTestOne,IxTestCentre,IxTestCentre
ix_RG_Subject_Group,ix_RG_Group_Test1,ix_RG_Group_Test1,FXKYY8C8,-/6.00,-/6.00,False,-,Marking not started,24/12/2019 13:19:00,24/12/2019 13:23:31,False,False,Unknown,"""Api_Review_Sch_Candidate4 Api_Review_Sch_Candidate4""",Api_Review_Sch_Candidate4,ix_c1,ix_c1
ix_RG_Subject_Group,ix_RG_Group_Test1,ix_RG_Group_Test1,N6KX8LC8,-/6.00,-/6.00,False,-,Marking not started,24/12/2019 13:18:00,24/12/2019 13:23:30,False,False,Unknown,"""Api_Review_Sch_Candidate3 Api_Review_Sch_Candidate3""",Api_Review_Sch_Candidate3,ix_c1,ix_c1
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group test form,7CBNQBC8,-/1500.00,-/1500.00,False,-,Marking not started,23/12/2019 11:19:00,23/12/2019 11:23:56,False,False,Unknown,"""IxTestThreeForename IxTestThreeSurname""",IxTestThree,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group test form,733CCCC8,-/1500.00,-/1500.00,False,-,Marking not started,23/12/2019 11:16:00,23/12/2019 11:18:56,False,False,Unknown,"""IxTestFourForename IxTestFourSurname""",IxTestFour,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group test form,7NHJPFC8,-/1500.00,-/1500.00,False,-,Marking not started,23/12/2019 11:12:00,23/12/2019 11:13:55,False,False,Unknown,"""IxTestFiveForename IxTestFiveSurname""",IxTestFive,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group test form,FX4TQ8C8,-/1500.00,-/1500.00,False,-,Marking not started,20/12/2019 11:37:00,20/12/2019 11:36:40,False,False,Unknown,"""IxTestFourForename IxTestFourSurname""",IxTestFour,IxTestCentre,IxTestCentre
F5769 Group 1 subject,F5769 Group 1 test,F5769 Group test form,WJY8WPC8,-/1500.00,-/1500.00,False,-,Marking not started,20/12/2019 11:32:00,20/12/2019 11:36:39,False,False,Unknown,"""IxTestFiveForename IxTestFiveSurname""",IxTestFive,IxTestCentre,IxTestCentre
IxTestSubject,Matt SecureMarker Group exam 8 Editions MMD,Matt SecureMarker Group exam 8 Editions MMD version 1,B9T7TNC8,-/50.00,-/50.00,False,-,Marking not started,16/12/2019 09:36:00,16/12/2019 09:40:48,False,False,Unknown,"""IxTestThreeForename IxTestThreeSurname""",IxTestThree,IxTestCentre,IxTestCentre
IxTestSubject,Matt SecureMarker Group exam 8 Editions MMD,Matt SecureMarker Group exam 8 Editions MMD version 1,YFM3M4C8,-/50.00,-/50.00,False,-,Marking not started,16/12/2019 09:36:00,16/12/2019 09:40:48,False,False,Unknown,"""IxTestThreeForename IxTestThreeSurname""",IxTestThree,IxTestCentre,IxTestCentre
IxTestSubject,Matt SecureMarker Group exam 8 Editions MMD,Matt SecureMarker Group exam 8 Editions MMD version 1,HLYLHBC8,-/50.00,-/50.00,False,-,Marking not started,16/12/2019 09:36:00,16/12/2019 09:40:48,False,False,Unknown,"""IxTestThreeForename IxTestThreeSurname""",IxTestThree,IxTestCentre,IxTestCentre
